carat,cut,color,clarity,depth,table,z,x,y,price
16007,16007,16007,16007,1.04,3,4,3,6.64,57.0,6405
16008,16008,16008,16008,1.17,0,1,1,6.73,56.0,6405
16009,16009,16009,16009,1.3,1,2,4,6.91,60.0,6405
16010,16010,16010,16010,1.33,1,3,0,7.15,52.0,6405
16011,16011,16011,16011,1.01,3,5,3,6.42,60.0,6406
16012,16012,16012,16012,1.01,3,5,3,6.35,55.0,6406
16013,16013,16013,16013,1.23,0,3,3,7.05,57.0,6406
16014,16014,16014,16014,1.3,1,3,0,7.17,57.0,6406
16015,16015,16015,16015,1.01,2,5,2,6.5,63.0,6407
16016,16016,16016,16016,1.22,3,5,0,6.82,58.0,6409
16017,16017,16017,16017,1.32,0,5,0,6.98,57.0,6409
16018,16018,16018,16018,1.02,0,5,3,6.36,58.0,6410
16019,16019,16019,16019,1.08,0,3,3,6.67,57.0,6411
16020,16020,16020,16020,0.3,1,1,2,4.34,58.0,608
16021,16021,16021,16021,0.3,1,1,2,4.36,60.0,608
16022,16022,16022,16022,0.3,1,1,2,4.4,58.0,608
16023,16023,16023,16023,0.3,0,1,2,4.37,56.0,608
16024,16024,16024,16024,0.3,1,1,2,4.38,59.0,608
16025,16025,16025,16025,0.3,1,1,2,4.43,61.0,608
16026,16026,16026,16026,0.3,1,1,2,4.33,60.0,608
16027,16027,16027,16027,0.3,1,1,2,4.32,59.0,608
16028,16028,16028,16028,0.3,3,1,2,4.32,54.0,608
16029,16029,16029,16029,0.3,0,1,2,4.32,54.0,608
16030,16030,16030,16030,0.3,0,1,2,4.32,57.0,608
16031,16031,16031,16031,0.3,1,1,2,4.32,58.0,608
16032,16032,16032,16032,0.3,1,1,2,4.3,58.0,608
16033,16033,16033,16033,0.3,1,1,2,4.29,58.0,608
16034,16034,16034,16034,0.3,1,1,2,4.3,59.0,608
16035,16035,16035,16035,0.3,1,1,2,4.31,53.0,608
16036,16036,16036,16036,0.3,1,1,2,4.3,60.0,608
16037,16037,16037,16037,0.3,3,1,2,4.23,59.0,608
16038,16038,16038,16038,0.3,1,1,2,4.3,59.0,608
16039,16039,16039,16039,0.3,2,1,2,4.25,58.0,608
16040,16040,16040,16040,0.3,3,1,2,4.29,57.0,608
16041,16041,16041,16041,0.3,1,3,3,4.33,58.0,608
16042,16042,16042,16042,0.3,1,3,3,4.35,61.0,608
16043,16043,16043,16043,0.3,0,3,3,4.37,57.0,608
16044,16044,16044,16044,0.3,1,3,3,4.31,60.0,608
16045,16045,16045,16045,0.3,1,3,3,4.3,61.0,608
16046,16046,16046,16046,0.3,3,3,3,4.3,54.0,608
16047,16047,16047,16047,0.3,1,3,3,4.31,59.0,608
16048,16048,16048,16048,0.3,1,3,3,4.33,61.0,608
16049,16049,16049,16049,0.3,1,3,3,4.28,58.0,608
16050,16050,16050,16050,1.06,0,5,3,6.53,55.0,6411
16051,16051,16051,16051,1.01,2,5,2,6.33,61.0,6412
16052,16052,16052,16052,1.01,1,5,2,6.5,59.0,6412
16053,16053,16053,16053,1.28,0,5,0,6.93,57.0,6412
16054,16054,16054,16054,1.02,0,4,3,6.44,57.0,6412
16055,16055,16055,16055,1.08,1,5,3,6.68,59.0,6415
16056,16056,16056,16056,1.08,3,5,3,6.5,58.0,6415
16057,16057,16057,16057,1.27,1,1,2,6.87,59.0,6415
16058,16058,16058,16058,1.02,1,5,3,6.46,58.0,6416
16059,16059,16059,16059,1.01,0,4,3,6.38,57.0,6416
16060,16060,16060,16060,1.01,1,4,3,6.51,60.0,6416
16061,16061,16061,16061,1.01,2,4,3,6.36,60.0,6416
16062,16062,16062,16062,1.01,3,4,3,6.33,59.0,6416
16063,16063,16063,16063,1.01,1,4,3,6.37,60.0,6416
16064,16064,16064,16064,1.01,1,4,3,6.42,58.0,6416
16065,16065,16065,16065,1.01,0,4,3,6.46,56.0,6416
16066,16066,16066,16066,1.2,1,3,3,6.77,58.0,6416
16067,16067,16067,16067,1.2,1,3,3,6.73,59.0,6416
16068,16068,16068,16068,1.2,1,3,3,6.75,58.0,6416
16069,16069,16069,16069,1.02,0,5,3,6.55,57.0,6416
16070,16070,16070,16070,1.02,1,5,3,6.44,59.0,6416
16071,16071,16071,16071,1.02,0,5,3,6.43,55.0,6418
16072,16072,16072,16072,1.02,0,5,3,6.36,57.0,6418
16073,16073,16073,16073,1.21,0,1,2,6.81,54.5,6418
16074,16074,16074,16074,1.22,3,1,3,6.95,58.0,6419
16075,16075,16075,16075,1.25,0,1,3,6.87,56.0,6419
16076,16076,16076,16076,1.09,0,3,3,6.61,57.0,6419
16077,16077,16077,16077,1.17,0,5,1,6.79,56.0,6419
16078,16078,16078,16078,1.22,3,5,1,6.75,56.0,6421
16079,16079,16079,16079,1.5,2,2,0,7.25,58.0,6421
16080,16080,16080,16080,1.2,3,3,3,6.73,54.0,6423
16081,16081,16081,16081,1.04,3,5,3,6.42,56.0,6424
16082,16082,16082,16082,1.0,0,4,3,6.37,58.0,6424
16083,16083,16083,16083,1.29,0,3,1,6.96,56.0,6424
16084,16084,16084,16084,1.49,4,3,6,6.93,61.0,6425
16085,16085,16085,16085,1.01,1,0,3,6.42,58.0,6425
16086,16086,16086,16086,1.08,0,3,1,6.63,57.0,6426
16087,16087,16087,16087,1.06,0,6,1,6.49,56.0,6426
16088,16088,16088,16088,1.29,1,1,1,6.99,59.0,6429
16089,16089,16089,16089,1.01,2,6,3,6.43,61.0,6429
16090,16090,16090,16090,1.27,0,2,4,6.92,54.0,6430
16091,16091,16091,16091,1.32,0,1,1,7.07,57.0,6431
16092,16092,16092,16092,1.32,1,3,0,7.05,58.0,6431
16093,16093,16093,16093,1.02,3,5,3,6.47,56.0,6432
16094,16094,16094,16094,1.0,3,5,2,6.48,61.0,6435
16095,16095,16095,16095,1.26,1,3,1,6.94,57.0,6435
16096,16096,16096,16096,1.23,0,1,2,6.86,56.0,6435
16097,16097,16097,16097,1.14,3,5,3,6.67,56.0,6435
16098,16098,16098,16098,1.2,1,4,1,6.76,58.0,6435
16099,16099,16099,16099,1.69,1,1,6,7.59,60.0,6436
16100,16100,16100,16100,1.0,2,5,1,6.44,58.0,6437
16101,16101,16101,16101,1.24,3,5,1,6.85,59.0,6438
16102,16102,16102,16102,1.31,1,1,3,7.02,59.0,6438
16103,16103,16103,16103,1.01,3,4,2,6.46,58.0,6439
16104,16104,16104,16104,1.01,0,5,3,6.43,56.0,6439
16105,16105,16105,16105,1.01,0,5,3,6.42,56.0,6439
16106,16106,16106,16106,1.01,0,5,3,6.41,56.0,6439
16107,16107,16107,16107,1.23,0,3,1,6.96,56.0,6439
16108,16108,16108,16108,1.0,3,6,3,6.26,59.0,6440
16109,16109,16109,16109,1.18,0,3,1,6.78,57.0,6440
16110,16110,16110,16110,1.25,2,4,3,6.76,58.0,6440
16111,16111,16111,16111,1.21,1,0,1,6.79,58.0,6440
16112,16112,16112,16112,1.07,3,0,3,6.61,58.0,6441
16113,16113,16113,16113,1.58,0,1,0,7.42,57.0,6441
16114,16114,16114,16114,1.01,1,5,2,6.46,56.0,6441
16115,16115,16115,16115,0.9,1,6,2,6.27,58.0,6441
16116,16116,16116,16116,1.01,1,5,2,6.44,58.0,6441
16117,16117,16117,16117,1.33,3,2,2,7.07,55.0,6442
16118,16118,16118,16118,1.3,0,4,0,6.96,56.0,6442
16119,16119,16119,16119,1.3,1,1,3,7.1,58.0,6442
16120,16120,16120,16120,1.27,3,1,3,6.83,58.0,6443
16121,16121,16121,16121,1.36,0,6,0,7.15,57.0,6443
16122,16122,16122,16122,1.3,2,6,0,7.27,63.0,6443
16123,16123,16123,16123,1.5,1,3,0,7.34,57.0,6443
16124,16124,16124,16124,0.91,0,6,3,6.26,57.0,6444
16125,16125,16125,16125,1.0,2,0,3,6.29,65.0,6445
16126,16126,16126,16126,1.11,1,5,3,6.76,58.0,6445
16127,16127,16127,16127,1.01,2,4,3,6.39,58.0,6446
16128,16128,16128,16128,1.01,1,4,3,6.47,58.0,6446
16129,16129,16129,16129,1.02,3,6,3,6.29,59.0,6447
16130,16130,16130,16130,1.14,1,4,1,6.77,58.0,6448
16131,16131,16131,16131,1.22,1,5,1,6.82,60.0,6449
16132,16132,16132,16132,1.01,3,5,3,6.34,56.0,6449
16133,16133,16133,16133,1.0,3,5,3,6.31,58.0,6449
16134,16134,16134,16134,1.22,1,5,1,6.89,58.0,6449
16135,16135,16135,16135,1.01,0,5,3,6.37,58.0,6449
16136,16136,16136,16136,1.33,0,2,2,6.99,58.0,6449
16137,16137,16137,16137,1.23,0,1,1,6.83,57.0,6449
16138,16138,16138,16138,1.01,2,6,3,6.27,58.0,6449
16139,16139,16139,16139,1.2,0,3,1,6.78,58.0,6450
16140,16140,16140,16140,1.0,1,5,3,6.42,59.0,6451
16141,16141,16141,16141,1.3,0,1,1,6.94,58.0,6451
16142,16142,16142,16142,1.28,1,1,3,6.89,61.0,6451
16143,16143,16143,16143,1.2,1,3,1,6.87,60.0,6451
16144,16144,16144,16144,1.28,0,3,0,6.92,57.0,6451
16145,16145,16145,16145,1.0,1,5,3,6.54,59.0,6451
16146,16146,16146,16146,1.2,1,5,1,6.71,58.0,6451
16147,16147,16147,16147,1.09,3,5,2,6.65,63.0,6453
16148,16148,16148,16148,1.09,0,3,3,6.56,58.0,6453
16149,16149,16149,16149,1.31,2,1,2,6.84,58.7,6455
16150,16150,16150,16150,1.45,4,4,0,7.17,58.0,6455
16151,16151,16151,16151,1.22,0,4,1,6.87,55.0,6456
16152,16152,16152,16152,1.23,3,3,1,6.91,59.0,6458
16153,16153,16153,16153,1.04,0,3,1,6.51,55.0,6458
16154,16154,16154,16154,1.04,1,4,3,6.61,59.0,6458
16155,16155,16155,16155,1.04,0,5,3,6.5,57.0,6458
16156,16156,16156,16156,1.28,0,4,0,6.96,55.0,6458
16157,16157,16157,16157,1.36,1,4,0,7.16,59.0,6458
16158,16158,16158,16158,1.55,1,3,0,7.61,60.0,6458
16159,16159,16159,16159,1.5,1,3,0,7.31,58.0,6458
16160,16160,16160,16160,1.12,0,0,1,6.69,55.0,6458
16161,16161,16161,16161,1.23,3,3,3,6.84,59.0,6459
16162,16162,16162,16162,1.23,3,3,3,6.89,59.0,6459
16163,16163,16163,16163,1.22,0,1,2,6.82,54.0,6459
16164,16164,16164,16164,1.07,0,4,3,6.5,57.0,6459
16165,16165,16165,16165,1.03,0,6,1,6.61,57.0,6460
16166,16166,16166,16166,1.03,1,0,3,6.6,59.0,6460
16167,16167,16167,16167,1.02,2,0,3,6.29,60.0,6462
16168,16168,16168,16168,1.0,1,5,2,6.49,58.0,6462
16169,16169,16169,16169,1.34,3,5,0,7.0,56.0,6463
16170,16170,16170,16170,1.34,1,5,0,7.04,58.0,6464
16171,16171,16171,16171,1.14,3,6,1,6.64,59.0,6464
16172,16172,16172,16172,1.0,2,5,2,6.34,59.0,6465
16173,16173,16173,16173,1.0,0,5,2,6.41,56.0,6465
16174,16174,16174,16174,1.0,0,5,2,6.42,54.0,6465
16175,16175,16175,16175,0.9,3,0,4,6.08,55.0,6466
16176,16176,16176,16176,1.03,0,4,3,6.59,56.0,6467
16177,16177,16177,16177,1.0,3,4,2,6.38,56.0,6468
16178,16178,16178,16178,1.0,3,4,2,6.35,57.0,6468
16179,16179,16179,16179,1.2,2,3,3,6.73,56.0,6468
16180,16180,16180,16180,1.0,1,4,3,6.53,61.0,6468
16181,16181,16181,16181,1.0,1,4,3,6.38,60.0,6468
16182,16182,16182,16182,1.25,0,0,1,6.93,57.0,6468
16183,16183,16183,16183,1.1,1,6,1,6.74,55.0,6468
16184,16184,16184,16184,1.0,1,4,3,6.37,60.0,6468
16185,16185,16185,16185,1.22,0,1,2,6.81,57.0,6469
16186,16186,16186,16186,1.22,0,1,2,6.81,55.7,6469
16187,16187,16187,16187,1.01,1,5,4,6.47,61.0,6470
16188,16188,16188,16188,1.31,0,4,1,6.98,56.0,6470
16189,16189,16189,16189,1.1,0,3,2,6.65,57.0,6470
16190,16190,16190,16190,1.01,1,5,4,6.45,60.0,6470
16191,16191,16191,16191,1.07,0,5,3,6.55,55.0,6471
16192,16192,16192,16192,1.07,1,5,3,6.6,58.0,6471
16193,16193,16193,16193,1.07,0,5,3,6.55,57.0,6471
16194,16194,16194,16194,1.07,1,5,3,6.71,56.0,6471
16195,16195,16195,16195,1.07,1,5,3,6.59,58.0,6471
16196,16196,16196,16196,1.2,0,3,1,6.8,56.0,6471
16197,16197,16197,16197,1.27,0,3,1,6.97,55.0,6472
16198,16198,16198,16198,1.29,0,0,0,6.94,57.0,6473
16199,16199,16199,16199,1.7,2,1,6,7.52,58.0,6474
16200,16200,16200,16200,1.26,0,3,1,6.95,58.0,6476
16201,16201,16201,16201,1.06,2,5,2,6.45,57.0,6477
16202,16202,16202,16202,1.53,0,3,6,7.38,56.0,6477
16203,16203,16203,16203,1.26,0,0,0,7.03,57.0,6477
16204,16204,16204,16204,1.21,0,5,3,6.85,56.0,6478
16205,16205,16205,16205,1.02,3,4,3,6.52,58.0,6479
16206,16206,16206,16206,1.02,0,4,3,6.42,54.0,6479
16207,16207,16207,16207,1.02,3,4,3,6.47,58.0,6479
16208,16208,16208,16208,1.02,1,4,3,6.42,58.0,6479
16209,16209,16209,16209,1.02,2,4,3,6.37,59.0,6479
16210,16210,16210,16210,1.02,0,4,3,6.39,56.0,6479
16211,16211,16211,16211,1.07,0,3,2,6.66,59.0,6479
16212,16212,16212,16212,1.03,1,5,2,6.48,59.0,6479
16213,16213,16213,16213,1.01,3,0,3,6.34,56.0,6480
16214,16214,16214,16214,1.09,0,5,3,6.6,57.0,6480
16215,16215,16215,16215,1.33,0,3,0,7.05,57.0,6480
16216,16216,16216,16216,1.33,1,5,0,7.0,59.0,6480
16217,16217,16217,16217,1.33,3,3,0,7.04,58.0,6482
16218,16218,16218,16218,1.06,3,5,3,6.5,57.0,6483
16219,16219,16219,16219,1.31,0,3,0,6.96,57.0,6484
16220,16220,16220,16220,1.03,1,4,3,6.5,58.0,6484
16221,16221,16221,16221,1.2,0,3,1,6.9,57.0,6485
16222,16222,16222,16222,1.05,0,5,3,6.58,57.0,6486
16223,16223,16223,16223,1.05,0,5,3,6.52,56.0,6486
16224,16224,16224,16224,1.05,3,5,3,6.45,57.0,6486
16225,16225,16225,16225,1.03,3,5,2,6.48,58.0,6487
16226,16226,16226,16226,1.2,0,3,3,6.91,57.0,6487
16227,16227,16227,16227,1.01,1,0,3,6.39,60.0,6488
16228,16228,16228,16228,1.01,3,0,3,6.37,57.0,6488
16229,16229,16229,16229,0.94,0,5,5,6.22,58.0,6488
16230,16230,16230,16230,1.24,0,3,1,6.9,57.0,6488
16231,16231,16231,16231,1.22,1,5,1,6.92,59.0,6492
16232,16232,16232,16232,1.15,0,5,3,6.78,57.0,6492
16233,16233,16233,16233,1.15,1,5,3,6.76,58.0,6492
16234,16234,16234,16234,1.2,1,5,1,6.81,60.0,6494
16235,16235,16235,16235,1.38,3,2,3,7.06,56.0,6494
16236,16236,16236,16236,1.51,1,0,6,7.41,62.0,6494
16237,16237,16237,16237,1.18,0,1,5,6.99,54.0,6494
16238,16238,16238,16238,1.37,1,5,0,7.24,60.0,6495
16239,16239,16239,16239,1.1,3,3,4,6.7,57.8,6497
16240,16240,16240,16240,1.01,3,5,2,6.34,59.0,6499
16241,16241,16241,16241,1.01,1,5,2,6.38,59.0,6499
16242,16242,16242,16242,1.01,1,5,2,6.38,59.0,6499
16243,16243,16243,16243,1.01,2,5,2,6.34,58.0,6499
16244,16244,16244,16244,1.01,1,5,2,6.38,58.0,6499
16245,16245,16245,16245,1.01,2,5,2,6.32,57.0,6499
16246,16246,16246,16246,1.01,1,5,2,6.44,58.0,6499
16247,16247,16247,16247,1.01,1,5,2,6.38,59.0,6499
16248,16248,16248,16248,1.01,0,5,2,6.4,57.0,6499
16249,16249,16249,16249,1.02,0,5,3,6.48,55.0,6499
16250,16250,16250,16250,1.2,1,3,3,6.75,59.0,6500
16251,16251,16251,16251,1.14,3,5,3,6.69,57.0,6500
16252,16252,16252,16252,1.01,0,4,3,6.39,57.0,6501
16253,16253,16253,16253,1.01,3,0,1,6.38,55.0,6501
16254,16254,16254,16254,1.2,0,5,1,6.92,56.0,6502
16255,16255,16255,16255,1.35,0,3,3,7.08,55.0,6502
16256,16256,16256,16256,2.07,4,5,6,7.76,56.0,6503
16257,16257,16257,16257,1.24,0,4,0,6.85,58.0,6503
16258,16258,16258,16258,1.12,1,5,3,6.72,56.0,6503
16259,16259,16259,16259,1.01,0,5,2,6.44,57.0,6504
16260,16260,16260,16260,1.08,2,3,5,6.52,57.0,6504
16261,16261,16261,16261,1.09,1,5,3,6.7,56.0,6504
16262,16262,16262,16262,1.22,1,1,2,7.02,60.0,6504
16263,16263,16263,16263,1.01,0,5,3,6.43,57.0,6504
16264,16264,16264,16264,1.09,1,5,3,6.6,58.0,6504
16265,16265,16265,16265,1.02,1,5,2,6.52,58.0,6505
16266,16266,16266,16266,1.21,1,3,1,6.88,61.0,6505
16267,16267,16267,16267,1.32,1,3,3,7.04,59.0,6505
16268,16268,16268,16268,1.21,1,6,0,6.79,57.0,6505
16269,16269,16269,16269,1.21,1,6,0,6.79,57.0,6505
16270,16270,16270,16270,1.29,0,4,0,7.08,54.0,6509
16271,16271,16271,16271,1.01,2,5,2,6.29,60.0,6509
16272,16272,16272,16272,1.01,2,0,2,6.22,58.0,6509
16273,16273,16273,16273,1.29,0,1,3,6.97,57.0,6509
16274,16274,16274,16274,1.02,0,4,3,6.42,57.0,6509
16275,16275,16275,16275,1.23,0,5,1,6.94,56.0,6509
16276,16276,16276,16276,1.51,1,3,0,7.31,58.0,6511
16277,16277,16277,16277,1.51,0,1,3,7.42,57.0,6511
16278,16278,16278,16278,1.51,2,2,1,7.19,61.0,6511
16279,16279,16279,16279,1.2,0,3,1,6.76,55.0,6512
16280,16280,16280,16280,1.01,0,5,3,6.53,55.0,6512
16281,16281,16281,16281,1.11,0,4,1,6.67,57.0,6512
16282,16282,16282,16282,1.53,1,3,0,7.46,60.0,6512
16283,16283,16283,16283,3.0,3,3,6,9.23,55.0,6512
16284,16284,16284,16284,1.33,3,1,1,6.97,56.0,6513
16285,16285,16285,16285,0.92,0,6,3,6.26,56.0,6513
16286,16286,16286,16286,1.01,3,0,3,6.38,58.0,6516
16287,16287,16287,16287,1.01,3,0,3,6.33,60.0,6516
16288,16288,16288,16288,1.01,1,0,3,6.58,60.0,6516
16289,16289,16289,16289,1.01,0,5,3,6.49,57.0,6516
16290,16290,16290,16290,1.01,3,0,3,6.39,62.0,6517
16291,16291,16291,16291,1.01,2,0,3,6.55,62.0,6517
16292,16292,16292,16292,1.15,0,0,1,6.8,57.0,6517
16293,16293,16293,16293,1.0,3,0,3,6.35,60.0,6518
16294,16294,16294,16294,1.2,0,3,1,6.83,56.0,6518
16295,16295,16295,16295,1.22,0,4,0,6.85,56.0,6518
16296,16296,16296,16296,1.32,1,3,4,7.05,58.0,6520
16297,16297,16297,16297,1.0,1,4,3,6.36,59.0,6521
16298,16298,16298,16298,2.0,2,2,6,7.97,62.0,6521
16299,16299,16299,16299,1.01,3,0,3,6.36,58.0,6522
16300,16300,16300,16300,1.01,3,0,3,6.47,58.0,6522
16301,16301,16301,16301,1.01,3,0,3,6.34,56.0,6522
16302,16302,16302,16302,1.01,2,0,3,6.64,60.0,6522
16303,16303,16303,16303,1.5,2,2,1,7.09,56.0,6523
16304,16304,16304,16304,1.07,3,5,3,6.49,59.0,6525
16305,16305,16305,16305,1.13,0,5,3,6.65,57.0,6525
16306,16306,16306,16306,1.19,3,4,1,6.85,59.0,6526
16307,16307,16307,16307,1.2,3,5,1,6.71,60.0,6526
16308,16308,16308,16308,1.2,3,5,1,6.68,57.0,6526
16309,16309,16309,16309,1.11,1,3,3,6.66,59.0,6527
16310,16310,16310,16310,1.04,0,5,3,6.55,57.0,6529
16311,16311,16311,16311,1.01,1,5,2,6.55,59.0,6529
16312,16312,16312,16312,1.01,3,5,2,6.35,61.0,6529
16313,16313,16313,16313,1.01,3,5,2,6.36,59.0,6529
16314,16314,16314,16314,1.01,2,5,2,6.37,56.0,6529
16315,16315,16315,16315,1.31,1,3,0,7.13,58.0,6529
16316,16316,16316,16316,1.08,0,5,3,6.57,56.0,6530
16317,16317,16317,16317,1.15,4,5,2,6.6,57.0,6530
16318,16318,16318,16318,1.22,3,4,1,6.8,58.0,6530
16319,16319,16319,16319,1.22,3,5,0,6.99,61.0,6531
16320,16320,16320,16320,1.09,0,6,1,6.61,55.9,6532
16321,16321,16321,16321,1.08,1,5,3,6.54,58.0,6532
16322,16322,16322,16322,1.08,1,5,3,6.7,59.0,6532
16323,16323,16323,16323,1.08,0,5,3,6.62,55.0,6532
16324,16324,16324,16324,1.08,1,5,2,6.62,61.0,6532
16325,16325,16325,16325,1.27,1,1,2,6.92,59.0,6532
16326,16326,16326,16326,1.08,1,5,3,6.75,59.0,6532
16327,16327,16327,16327,2.0,4,4,6,7.84,57.0,6532
16328,16328,16328,16328,1.08,1,5,3,6.56,57.0,6532
16329,16329,16329,16329,1.01,3,4,3,6.41,57.0,6533
16330,16330,16330,16330,1.01,1,4,3,6.48,58.0,6533
16331,16331,16331,16331,1.01,1,4,3,6.4,60.0,6533
16332,16332,16332,16332,1.01,1,4,3,6.48,62.0,6533
16333,16333,16333,16333,1.01,1,4,3,6.54,60.0,6533
16334,16334,16334,16334,1.01,0,4,3,6.51,56.0,6533
16335,16335,16335,16335,1.01,1,4,3,6.41,59.0,6533
16336,16336,16336,16336,1.01,3,4,3,6.39,60.0,6533
16337,16337,16337,16337,1.1,0,5,3,6.6,56.0,6534
16338,16338,16338,16338,1.1,1,5,3,6.71,58.0,6534
16339,16339,16339,16339,1.2,3,0,1,6.75,56.0,6534
16340,16340,16340,16340,1.11,1,5,3,6.7,58.0,6534
16341,16341,16341,16341,2.21,1,3,6,8.31,58.0,6535
16342,16342,16342,16342,1.0,0,3,5,6.37,59.0,6535
16343,16343,16343,16343,1.1,0,5,2,6.69,54.0,6535
16344,16344,16344,16344,1.29,3,1,3,6.94,58.0,6537
16345,16345,16345,16345,1.03,3,5,2,6.42,57.0,6539
16346,16346,16346,16346,1.03,3,5,2,6.43,56.0,6539
16347,16347,16347,16347,1.08,0,6,1,6.52,57.0,6539
16348,16348,16348,16348,1.08,0,6,1,6.68,57.0,6539
16349,16349,16349,16349,1.01,3,4,3,6.3,59.0,6540
16350,16350,16350,16350,0.3,1,3,3,4.3,59.0,608
16351,16351,16351,16351,0.3,3,3,3,4.27,58.0,608
16352,16352,16352,16352,0.3,1,3,3,4.29,59.0,608
16353,16353,16353,16353,0.3,1,3,3,4.26,59.0,608
16354,16354,16354,16354,0.3,1,3,3,4.27,59.0,608
16355,16355,16355,16355,0.3,1,3,3,4.28,58.0,608
16356,16356,16356,16356,0.3,1,3,3,4.28,59.0,608
16357,16357,16357,16357,0.3,3,3,3,4.27,59.0,608
16358,16358,16358,16358,0.3,2,6,3,4.25,57.0,608
16359,16359,16359,16359,0.3,1,3,3,4.32,61.0,608
16360,16360,16360,16360,0.32,0,0,3,4.4,57.0,608
16361,16361,16361,16361,0.33,1,6,1,4.46,59.0,608
16362,16362,16362,16362,0.33,0,6,1,4.43,54.0,608
16363,16363,16363,16363,0.33,1,6,1,4.47,58.0,608
16364,16364,16364,16364,0.33,3,1,5,4.43,61.0,608
16365,16365,16365,16365,0.33,0,6,1,4.41,54.0,608
16366,16366,16366,16366,0.33,3,6,1,4.47,59.0,608
16367,16367,16367,16367,0.33,1,1,5,4.41,60.0,608
16368,16368,16368,16368,0.33,3,6,1,4.41,60.0,608
16369,16369,16369,16369,0.33,0,6,1,4.4,55.0,608
16370,16370,16370,16370,0.33,1,6,1,4.41,60.0,608
16371,16371,16371,16371,0.33,0,6,1,4.44,56.0,608
16372,16372,16372,16372,0.33,3,6,1,4.39,56.0,608
16373,16373,16373,16373,0.33,3,1,5,4.38,61.0,608
16374,16374,16374,16374,0.33,3,6,1,4.41,55.0,608
16375,16375,16375,16375,0.28,0,6,5,4.2,57.0,608
16376,16376,16376,16376,0.28,3,0,4,4.31,60.0,608
16377,16377,16377,16377,0.33,3,1,5,4.52,61.0,609
16378,16378,16378,16378,0.29,3,4,5,4.31,61.0,609
16379,16379,16379,16379,0.29,3,0,5,4.29,61.0,609
16380,16380,16380,16380,1.18,0,1,2,6.73,55.3,6541
16381,16381,16381,16381,1.32,1,4,0,7.05,60.0,6541
16382,16382,16382,16382,1.04,3,5,2,6.39,56.0,6541
16383,16383,16383,16383,1.22,0,3,1,6.84,56.0,6541
16384,16384,16384,16384,1.04,0,5,3,6.48,56.0,6542
16385,16385,16385,16385,1.23,3,3,1,6.79,58.0,6542
16386,16386,16386,16386,1.32,1,5,1,7.03,59.0,6542
16387,16387,16387,16387,1.18,1,4,1,6.75,59.0,6542
16388,16388,16388,16388,1.03,2,4,3,6.35,59.0,6543
16389,16389,16389,16389,1.03,0,4,3,6.6,55.0,6543
16390,16390,16390,16390,1.27,0,0,3,7.03,55.0,6543
16391,16391,16391,16391,1.27,0,4,3,6.9,56.0,6543
16392,16392,16392,16392,1.39,0,1,0,7.14,55.0,6544
16393,16393,16393,16393,1.52,1,3,0,7.55,60.0,6544
16394,16394,16394,16394,1.05,3,4,3,6.48,56.0,6545
16395,16395,16395,16395,1.25,1,1,2,6.94,59.0,6545
16396,16396,16396,16396,1.23,2,5,1,6.78,56.0,6545
16397,16397,16397,16397,1.09,3,5,2,6.56,59.0,6546
16398,16398,16398,16398,1.51,3,2,0,7.26,59.0,6546
16399,16399,16399,16399,1.26,3,3,1,6.97,60.0,6546
16400,16400,16400,16400,1.43,0,2,1,7.23,58.0,6546
16401,16401,16401,16401,1.2,1,3,3,6.82,58.0,6547
16402,16402,16402,16402,1.06,0,5,3,6.56,57.0,6548
16403,16403,16403,16403,1.28,0,5,0,6.98,58.0,6548
16404,16404,16404,16404,0.63,0,6,7,5.47,55.0,6549
16405,16405,16405,16405,1.21,3,5,1,6.84,58.0,6549
16406,16406,16406,16406,1.3,0,3,0,7.09,57.0,6552
16407,16407,16407,16407,1.01,3,0,3,6.34,57.0,6552
16408,16408,16408,16408,1.5,4,5,0,6.87,66.0,6552
16409,16409,16409,16409,1.0,2,4,2,6.57,59.0,6552
16410,16410,16410,16410,1.0,1,5,2,6.54,61.0,6552
16411,16411,16411,16411,1.5,2,5,0,7.19,58.0,6552
16412,16412,16412,16412,1.0,3,5,2,6.32,58.0,6552
16413,16413,16413,16413,1.52,1,4,0,7.47,61.0,6554
16414,16414,16414,16414,1.15,1,5,3,6.68,58.0,6557
16415,16415,16415,16415,1.23,0,6,1,7.01,54.0,6557
16416,16416,16416,16416,1.03,0,5,3,6.47,56.0,6557
16417,16417,16417,16417,1.2,3,1,4,6.88,55.0,6558
16418,16418,16418,16418,1.17,0,3,3,6.73,58.0,6558
16419,16419,16419,16419,1.03,0,5,2,6.44,57.0,6558
16420,16420,16420,16420,1.07,0,5,3,6.58,57.0,6558
16421,16421,16421,16421,1.27,3,1,1,6.97,61.0,6559
16422,16422,16422,16422,1.21,2,5,4,6.74,55.0,6559
16423,16423,16423,16423,1.22,0,5,1,6.89,57.0,6559
16424,16424,16424,16424,1.3,0,4,0,7.0,56.0,6559
16425,16425,16425,16425,1.03,0,3,4,6.45,53.0,6560
16426,16426,16426,16426,1.08,0,5,3,6.56,57.0,6561
16427,16427,16427,16427,1.07,0,0,1,6.57,55.0,6561
16428,16428,16428,16428,1.13,1,5,3,6.82,59.0,6561
16429,16429,16429,16429,1.05,0,5,3,6.47,57.0,6562
16430,16430,16430,16430,1.08,0,3,2,6.56,55.0,6562
16431,16431,16431,16431,1.24,1,5,1,7.1,58.0,6562
